ProjectID,ReferenceDoc,Type,Pdf
21,http://www.abengoasolar.com,Web site,0
22,http://www.abengoasolar.com,Web site,0
25,http://www.abengoasolar.com,Web site,0
38,http://www.abengoasolar.com,Web site,0
39,http://www.abengoasolar.com,Web site,0
45,http://www.fpl.com/environment/solar/martin.shtml,Web site,0
45,http://www.fpl.com/environment/solar/martin_faq.shtml,Web site,0
50,http://www.bogaris.com,Web site,0
54,http://www.nexteraenergyresources.com/pdf_redesign/Genesis_factsheet.pdf,Fact sheet,1
60,http://solarreserve.com,Web site,0
61,http://www.solarreserve.com/pressReleases/RicePPAPressRelease.pdf,Press release,1
62,http://ivanpahsolar.com/,Web site,0
63,http://www.esolar.com,Web site,0
64,http://www.esolar.com,Web site,0
69,http://shamspower.ae/en/,Web site,0
78,http://www.clarkenergygroup.com/irwinpressconference/Fort%20Irwin%20Solar%20Energy%20-%20Press%20Kit%20-%20FINAL.pdf,Fact sheet,1
78,http://www.clarkenergygroup.com/news.aspx?a=s&id=200000011,Fact sheet,0
80,http://docs.cpuc.ca.gov/PUBLISHED/FINAL_RESOLUTION/107761.htm,Press release,0
81,http://docs.cpuc.ca.gov/PUBLISHED/FINAL_RESOLUTION/107761.htm,Press release,0
82,http://climateprogress.org/2008/12/04/calif-agency-approves-socal-edisons-first-solar-baseload-contract/,News story,0
82,http://docs.cpuc.ca.gov/PUBLISHED/NEWS_RELEASE/94642.htm,News story,0
84,http://uanews.org/node/29549,News story,0
84,http://www.treoaz.org/January_19_2010_Bell_Independent_Power_Corp_Chooses_Tucsons_UA_Tech_Park_for_New_Solar_Plant.aspx,News story,0
88,http://www.energy.ca.gov/releases/2010_releases/2010-08-25_beacon.html,Press release,0
88,http://www.nexteraenergyresources.com/pdf/beacon.pdf,Press release,1
93,http://tesserasolar.com/north-america/pdf/2010_10_05.pdf,Press release,1
93,http://www.energy.ca.gov/sitingcases/solartwo/index.html,Press release,0
101,http://docs.cpuc.ca.gov/PUBLISHED/FINAL_RESOLUTION/107761.htm,Web site,0
102,http://docs.cpuc.ca.gov/PUBLISHED/FINAL_RESOLUTION/107761.htm,Web site,0
103,http://docs.cpuc.ca.gov/PUBLISHED/FINAL_RESOLUTION/107761.htm,Web site,0
104,http://palmdale1.com/,Web site,0
104,http://www.energy.ca.gov/sitingcases/palmdale/index.html,Web site,0
105,http://www.energy.ca.gov/sitingcases/victorville2/index.html,Web site,0
105,http://www.victorville2.com/index.html,Web site,0
113,http://www.energy.ca.gov/sitingcases/solar_millennium_ridgecrest/index.html,Web site,0
149,http://www.esolar.com,Web site,0
243,http://kogansolarboost.com.au/,Web site,0
248,http://en.supcon.com/product_info.php?271,Web site,0
267,http://www.fpl.com/environment/solar/martin.shtml,Web site,0
267,http://www.fpl.com/environment/solar/martin_faq.shtml,Web site,0
4295,http://www.brightsourceenergy.com/stuff/contentmgr/files/0/139e6c3f799d75a227a6c482257099f1/folder/delingha_fact_sheet_4_8_15.pdf,Fact sheet,1
8316,http://www.aalborgcsp.com/projects/csp-for-combined-heat-and-power-generation-denmark/,Web site,0
