title,field_lp_title,field_lp_description,short_desc
Operational,Concentrating Solar Power Projects with Operational Plants,Concentrating solar power (CSP) projects with working power plants are listed below alphabetically by project name. You can browse a project profile by clicking on the project name.,projects with working power plants that are producing electricity
Under Construction,Concentrating Solar Power Projects Under Construction,Concentrating solar power (CSP) projects that are currently under construction are listed below—alphabetically by project name. These projects are ones where ground has been broken and construction is still in progress. You can browse a project profile by clicking on the project name.,projects where ground has been broken and construction is still in progress
Under Development,Concentrating Solar Power Projects Under Development,"Concentrating solar power (CSP) projects that are currently under development are listed below alphabetically by project name. These projects have signed agreements, but actual construction is still pending. You can browse a project profile by clicking on the project name.","projects having a signed agreement, but actual construction is still pending."
Request for Offer,Concentrating Solar Power Projects as Request for Offer,"Currently there are no Concentrating Solar Power Projects as Request for Offer projects.

You can also access information on CSP projects with operational plants, under construction, under development, or currently non-operational.",projects that are response to a call for proposals or that are announced but have no signed agreement.
Currently Non-Operational,Concentrating Solar Power Projects Currently Non-Operational,Concentrating solar power (CSP) projects that are currently non-operational are listed below alphabetically by project name.,projects that were operational but are now defunct or that were demonstrations for just a limited period.
