ProjectID,NumberSCAs,NumberLoops,SolarFieldApertureArea,SolarFieldApertureAreaUnits,SCAArea,SCAAreaUnits,SCAManufacturer1,SCAModel1,SCADescription1,SCAManufacturer2,SCAModel2,SCADescription2,SCAMirrorManufacturer1,SCAMirrorModel1,SCAMirrorManufacturer2,SCAMirrorModel2,SCALength,SCALengthUnits,NumberModulesPerSCA,NumberSCAsPerLoop,TotalLoops,SolarFieldInletTemperature,SolarFieldOutletTemperature,SolarFieldTemperatureUnits,SolarFieldTemperatureDifference
217,624,156,510120,m²,817,m²,Sener,SenerTrough,,,,,Flabeg,RP3,,,150,m,12,4,156,293,393,C,100
223,360,90,300000,m²,NULL,,Abengoa Solar,ASTRØ,,,,,,,,,150,m,12,4,NULL,293,393,C,100
224,360,90,300000,m²,NULL,,Abengoa Solar,ASTRØ,,,,,,,,,150,m,12,4,NULL,293,393,C,100
227,464,116,380000,m²,NULL,,,,,,,,,,,,NULL,,,4,NULL,293,393,C,100
228,738,123,402210,m²,545,m²,Siemens,SunField 6,,,,,Saint Gobain,,,,96,m,,6,123,293,393,C,100
229,624,156,510120,m²,817,m²,Flagsol,SKAL-ET 150,,,,,,,,,148.5,,12,4,NULL,293,393,C,100
230,360,90,300000,m²,NULL,,Abengoa,ASTRØ,,,,,,,,,150,m,12,4,NULL,293,393,,100
231,360,90,300000,m²,NULL,,Abengoa,ASTRØ,,,,,,,,,150,m,12,4,NULL,293,393,C,100
232,360,90,300000,m²,NULL,,Abengoa,ASTRØ,,,,,,,,,150,m,12,4,NULL,293,393,C,100
233,360,90,300000,m²,NULL,,Abengoa,ASTRØ,,,,,,,,,150,m,12,4,NULL,293,393,C,100
234,420,105,339506,m²,NULL,,Sener,SenerTrough,,,,,Flabeg,RP3,,,150,m,12,4,105,293,393,C,100
235,384,96,310406,m²,817,m²,Sener,SenerTrough,,,,,Flabeg,RP3,,,150,m,12,4,96,293,393,C,100
236,672,168,550000,m²,NULL,,Sener,SenerTrough,,,,,,,,,150,,12,4,168,293,393,C,100
237,416,124,405500,m²,NULL,,Sener,SENERtrough,,,,,,,,,NULL,,,NULL,124,293,393,C,100
238,640,160,523200,m²,817,m²,Sener,SENERtrough,,,,,Flabeg,RP3,,,NULL,,,4,160,293,393,C,NULL
239,640,160,523200,m²,817,m²,Sener,SENERtrough,,,,,Flabeg,RP3,,,NULL,,,4,160,293,393,C,NULL
240,624,156,510120,m²,817,m²,Sener,SENERtrough,,,,,Flabeg,RP3,,,144,m,12,4,156,293,393,C,NULL
241,936,156,510120,m²,545,m²,Siemens,SunField 6,,,,,,,,,96,m,,6,156,293,393,C,NULL
242,336,56,183120,m²,545,m²,Siemens,SunField 6,,,,,,,,,96,m,8,6,56,293,393,C,NULL
245,1200,300,800000,m²,NULL,,Abengoa Solar,E2,,,,,Rioglass,,,,NULL,,10,4,300,NULL,NULL,,NULL
247,480,120,392400,m²,817,m²,EuroTrough,ET 150,,,,,Flabeg,RP3,,,144,m,12,4,120,293,390,C,NULL
252,5376,1344,NULL,,NULL,,,,,,,,,,,,NULL,,,4,1344,293,393,C,NULL
254,NULL,NULL,NULL,,NULL,,Ener-t International Ltd,ES-3.5,,,,,Rioglass,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
258,NULL,290,NULL,,NULL,,SENERtrough,SNT0,,,,,,,,,NULL,,,NULL,290,NULL,NULL,,NULL
260,NULL,290,NULL,,NULL,,SENERtrough,SNT0,,,,,,,,,NULL,,,NULL,290,NULL,NULL,,NULL
263,400,100,326800,m²,817,m²,EuroTrough,ET-150,,,,,Flabeg,RP-3,,,144,m,12,4,100,293,393,C,NULL
264,448,112,366240,m²,817,m²,Albiasa,AT-150,,,,,,,,,150,m,12,4,112,293,393,C,NULL
267,1136,142,464908,m²,NULL,,Gossamer Space Frames,LAT 1,,,,,,,,,72,m,6,8,142,NULL,NULL,,NULL
270,NULL,NULL,NULL,,NULL,,Sener,SenerTrough,,,,,"FE GmbH (formerly Flabeg GmbH, Germany)","Rp3, annealed",,,NULL,,,NULL,NULL,293,393,C,NULL
271,NULL,180,588600,m²,NULL,,Sener,SenerTrough,,,,,"FE GmbH (formerly Flabeg GmbH, Germany)","Rp3, annealed",,,NULL,,,NULL,NULL,293,393,C,NULL
273,3,1,6159,m²,2053,m²,Airlight Energy,,,,,,Airlight Energy,Pneumatic mirror,,,215,m,12,3,1,270,570,C,NULL
274,624,156,510120,m²,817,m²,Sener,SenerTrough,,,,,Flabeg,RP3,,,144,m,12,4,156,293,393,C,NULL
275,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
276,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
278,8,2,5248,m²,656,m²,SkyFuel,SkyTrough®,,,,,,,,,115,m,,4,2,NULL,NULL,,NULL
279,12,3,8000,m²,NULL,,Shrijee Structures,,,,,,Rioglass,,,,120,m,10,4,3,293,393,C,NULL
4279,NULL,NULL,NULL,,656,m²,SkyFuel,SkyTrough®,,,,,SkyFuel,ReflecTech®,,,115,m,8,NULL,NULL,NULL,NULL,,NULL
4285,6,1,3398,m²,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,290,550,C,NULL
4290,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,293,393,C,NULL
4291,1064,266,869800,m²,NULL,,Sener,SENERtrough®,,,,,,,,,NULL,,,4,266,293,393,C,NULL
4292,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,293,393,C,NULL
4294,NULL,190,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,190,293,393,C,NULL
4296,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
4300,NULL,NULL,NULL,,NULL,,Flabeg,Ultimate Trough,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
5305,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
5306,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
5307,NULL,192,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
5308,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
5309,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
5310,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
7315,NULL,NULL,NULL,,NULL,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,,NULL
8316,40,10,26929,m²,674,m²,Aalborg CSP,,,,,,,,,,125,m,10,4,NULL,252,312,C,NULL
