ProjectID,GenerationOfftaker
3,Endesa
4,Endesa
7,Unión Fenosa
8,Unión Fenosa
10,Endesa
11,Endesa
14,Endesa
18,Market
20,NV Energy
21,Electrical Market (Pool)
21,Endesa Distribution (FIT)
22,Electrical Market (Pool)
22,Endesa Distribution (FIT)
23,Arizona Public Service
24,Arizona Public Service
25,Electrical Market (Pool)
25,Endesa Distribution (FIT)
28,Southern California Edison
29,Southern California Edison
30,Southern California Edison
31,Southern California Edison
32,Southern California Edison
33,Southern California Edison
34,Southern California Edison
35,Southern California Edison
36,Southern California Edison
37,California ISO
38,Electric Market (Pool)
38,Endesa Distribución (FIT)
39,Electric Market (Pool)
39,Endesa Distribución (FIT)
43,ONE (Office National de l'Electricite)
44,Sonatrach
45,Florida Power & Light Co.
46,Iberdrola S.A.U.
46,REE
47,REE
48,REE
50,Red Eléctrica 
51,Southern California Edison (SCE)
52,Southern California Edison (SCE)
53,Southern California Edison (SCE)
54,Pacific Gas & Electric (PG&E)
55,Pacific Gas & Electric (PG&E)
56,San Diego Gas & Electric (SDG&E)
57,Pacific Gas & Electric (PG&E)
58,Salt River Project (SRP)
59,Southern California Edison (SCE)
60,NV Energy
61,Pacific Gas & Electric
62,Pacific Gas & Electric; Southern California Edison
63,Southern California Edison
64,El Paso Electric
69,ADWEC
71,HELCO
78,U.S. Army/surrounding utilities
80,Pacific Gas and Electric (PG&E)
81,Pacific Gas and Electric (PG&E)
82,Southern California Edison (SCE)
84,Tucson Electric Power
93,San Diego Gas & Electric (SDG&E)
101,Pacific Gas & Electric (PG&E)
102,Pacific Gas & Electric (PG&E)
103,Pacific Gas & Electric (PG&E)
113,Southern California Edison (SCE)
148,Pacific Gas & Electric (PG&E)
149,El Paso Electric
156,Southern California Edison (SCE)
159,Iberdrola S.A.U.
159,REE
197,Southern California Edison (SCE)
207,Electricity Generating Authority of Thailand
221,EDF
227,Endesa
228,Endesa
236,Endesa
240,Endesa
243,National Electricity Market
244,Eskom
245,Eskom
247,NTPC Vidyut Vyapar Nigam Limited
254,NTPC Vidyut Vyapar Nigam Limited
258,NTPC Vidyut Vyapar Nigam Limited
260,NTPC Vidyut Vyapar Nigam Limited
261,Australian National Energy Market
263,Gujarat Urja Vikas Nigam Ltd
264,NTPC Vidyut Vyapar Nigam Ltd.
266,EDF
267,Florida Power & Light Co.
269,Australian National Electricity Market
270,ONE and MASEN
271,Eskom
272,NTPC Vidyut Vyapar Nigam
273,"Cimar, Italcementi Group"
274,Endesa
275,Eskom
276,Israel Electricity Corporation
277,Israel Electricity Corporation
279,National grid
3275,Sistema Interconectado del Norte Grande (SING)
4279,NV Energy
4284,Essential Energy
4290,Eskom
4292,ONE
4293,ONE
4300,Saudi Electricity Co.
5315,NTCP
8315,Hellenic Electricity Distribution Network Operator
