ProjectID,Owner,OwnerPercent
224,JGC,26
227,Ibereólica Solar,100
228,Ibereólica Solar,100
229,Elecnor/Aries/ABM AMRO,100
230,Abengoa,100
231,Abengoa,70
231,ITOCHU,30
232,Abengoa,70
232,ITOCHU,30
233,Abengoa,100
234,FCC Energy,100
235,FCC Energy,70
235,Mitsui,30
236,Ortiz/TSK/Magtel,100
237,Acciona,100
238,"NextEra, FPL",100
239,"NextEra, FPL",100
240,ACS - COBRA group,100
241,RREF/OHL,100
242,Abantia,50
242,Comsa EMTE,50
243,CS Energy,100
244,Abengoa Solar,51
244,IDC,49
245,Abengoa Solar,51
245,IDC,49
246,DLR,100
247,Godawari Green Energy Limited,100
248,SUPCON Solar,100
252,Grupo Ibereolica,100
253,Institute of Electrical Engineering of Chinese Academy of Sciences,100
254,Corporate Ispat Alloys Ltd.,100
258,Lanco Infratech,100
260,KVK Energy Ventures Ltd,100
261,Graphite Energy,100
262,ACME Group,100
263,Cargo Solar Power,100
264,Megha Engineering and Infrastructure,100
265,Tooele Army Depot,100
266,eLLO,100
267,Florida Power & Light Co.,100
268,CNIM,100
269,Macquarie Generation,100
270,ACWA Power Ouarzazate,NULL
271,ACWA Power Solafrica Bokpoort CSP Power Plant (Pty) Ltd,NULL
272,Reliance Power,100
273,"Cimar, Italcementi Group",100
274,ACS - COBRA group,100
275,Abengoa Solar,NULL
276,Negev Energy Ltd.,100
277,BrightSource Energy,25
277,General Electric,25
277,NOY Infrastructure & Energy Investment Fund,50
278,City of Medicine Hat,NULL
279,IIT Bombay,100
3275,Abengoa Solar,100
4279,Enel Green Power,NULL
4280,Greenway CSP,100
4284,Vast Solar,NULL
4285,Archimede Solar Energy,NULL
4287,IRESEN,NULL
4288,Falck Renewables,100
4289,ACWA,NULL
4290,Kathu Solar Park Consortium,NULL
4294,CGN Delingha Solar Energy,NULL
4295,Huanghe Hydropower Development,NULL
4296,Kuwait Institute for Scientific Research (KISR),NULL
4300,Saudi Electricity Co.,NULL
4302,Sundrop Farms,NULL
4303,Beijing Shouhang IHW,NULL
4304,Northwest Engineering Corp.,NULL
4305,Northwest Electric Power Design Institute,NULL
4306,"China Three Gorges New Energy Co., Ltd",NULL
4307,"Yumen Xinneng Thermal Power Co., Ltd",NULL
5303,"Beijing Guohua Electric Power Co., Ltd",NULL
5304,DaHua Engineering Management,NULL
5305,Royal Tech CSP Limited,NULL
5306,"Shenzhen Jinfan Energy Technology Co., Ltd.",NULL
5307,"Rayspower Energy Group Co., Ltd.",NULL
5308,"Inner Mongolia Royal Tech New Energy Co., Ltd.",NULL
5309,"OECEP Gansu Weiwu Solar Technology Co., Ltd",NULL
5310,Zhongyang Zhangjiakou Chabei,NULL
5311,"Lanzhou Dacheng Technology Co., Ltd",NULL
5312,"Zhangbei Huaqiang Zhaoyang Co., Ltd.",NULL
5313,"Zhangbei Huaqiang Zhaoyang Co., Ltd.",NULL
5314,"Huaneng North United Power Co., Ltd.",NULL
5315,NTCP,NULL
6315,Beijing Shouhang IHW,NULL
8315,NUR Energie,100
8316,Brønderslev Forsyning,NULL
