ProjectID,Owner,OwnerPercent
3,ACS/Cobra Group,100
4,ACS/Cobra Group,100
5,Acciona Energía,100
6,Acciona Energía,100
7,ACS/Cobra Group,100
8,ACS/Cobra Group,100
9,Acciona Energía,100
10,ACS/Cobra Group,100
11,ACS/Cobra Group,100
12,Torresol,100
13,Torresol,100
14,ACS/Cobra Group,100
16,Acciona Energía,100
17,"Solel Solar Systems, LTD.",50
17,"Valoriza Energía, S.L.",50
18,IBERCAM (Iberdrola Renovables Castilla-La Mancha),90
18,IDAE,10
19,ENEL,100
20,Acciona Energía,100
21,Abengoa Solar,NULL
22,Abengoa Solar,NULL
23,Abengoa Solar,NULL
23,Liberty Interactive Corporation,NULL
24,Arizona Public Service,100
25,Abengoa Solar,NULL
26,Renovables SAMCA,100
27,Renovables SAMCA,100
28,Cogentrix,100
29,Cogentrix,100
30,NextEra,50
31,NextEra,38
32,NextEra,46
33,NextEra,41
34,NextEra,50
35,NextEra,50
36,NextEra,50
37,Ausra,100
38,Abengoa Solar,NULL
39,Abengoa Solar,NULL
40,MASDAR,40
40,Sener,60
43,ONE (Office National de l'Electricite),100
44,Sonatrach,100
45,Florida Power & Light Co.,100
46,Novatec Solar España S.L.,100
47,"Caja Castilla La Mancha Corporación, S.A.",5
47,Fundo de Capital de Risco Energias Renováveis-Caixa Capital,5
47,HYPERION,10
47,"Hypesol Energy Holding, S.L.",80
48,"Caja Castilla La Mancha Corporación, S.A.",5
48,Fundo de Capital de Risco Energias Renováveis-Caixa Capital,5
48,HYPERION,10
48,"Hypesol Energy Holding, S.L.",80
50,Bogaris,100
53,BrightSource Energy,100
54,"Genesis Solar, LLC",NULL
56,Tessera Solar,NULL
57,"Mojave Solar, LLC",NULL
58,Tessera Solar,NULL
60,"SolarReserve's Tonopah Solar Energy, LLC",100
61,"SolarReserve's Rice Solar Energy, LLC",100
62,NRG Energy; BrightSource Energy; Google,NULL
63,eSolar,100
64,NRG Energy,NULL
65,NREA,100
69,Masdar,80
69,Total,20
71,"Keahole Solar Power, LLC",NULL
75,Xcel Energy,100
78,Acciona Solar Power,100
84,Bell Independent Power Corp.,NULL
104,City of Palmdale,NULL
117,Ferrostaal/Solar Millennium/RWE/Rhein E./SWM,100
135,Federal Electricity Commission,100
149,NRG Energy,NULL
159,"Tubo Sol PE 2, S.L. (Elektra Baselland)",73
159,"Tubo Sol PE 2, S.L. (Industrielle Werke Basel)",12
159,"Tubo Sol PE 2, S.L. (Novatec Biosol AG)",15
207,Thai Solar Energy Co.Ltd.,100
210,Abengoa Solar,50
210,EON,50
212,Abengoa Solar,50
212,EON,50
215,Elecnor/Aries/ABM AMRO,100
216,Elecnor/Aries/ ABM AMRO,100
217,Elecnor/Aries/ ABM AMRO,100
221,Solar Euromed,100
222,Solar Euromed,100
223,Abengoa Solar,74
223,JGC,26
224,Abengoa Solar,74
